Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
742048,Drs.,Lizeth,P,Mccoll,F,lizeth.mccoll@ibm.com,Renato Mccoll,Serena Mccoll,Broxton,7/5/1973,08:14:43 AM,47.19,49,1/7/1995,Q1,H1,1995,1,January,Jan,7,Saturday,Sat,25.67,147446,14%,171-86-6830,216-703-2865,Alliance,Stark,Alliance,OH,44601,Midwest,lpmccoll,b5CDsd1Mz.
671135,Ms.,Argentina,O,Hern,F,argentina.hern@ntlworld.com,Earl Hern,Chrissy Hern,Tapley,10/15/1962,02:08:22 AM,57.92,53,4/1/1986,Q2,H1,1986,4,April,Apr,1,Tuesday,Tue,34.44,129174,8%,083-02-3078,202-572-0136,Washington,District of Columbia,Washington,DC,20411,South,aohern,vsUv&nFc?lM|2-
965851,Mr.,Damian,N,Patillo,M,damian.patillo@outlook.com,Harley Patillo,Lucinda Patillo,Etter,3/11/1975,07:48:45 PM,45.51,84,12/16/2004,Q4,H2,2004,12,December,Dec,16,Thursday,Thu,15.72,158746,8%,326-11-9852,209-784-3915,Burrel,Fresno,Burrel,CA,93607,West,dnpatillo,GQj^c:4#B:F8
224660,Drs.,Imogene,P,Hagopian,F,imogene.hagopian@gmail.com,Delmar Hagopian,Carolina Hagopian,Lockett,2/19/1995,03:15:09 PM,25.55,52,6/8/2017,Q2,H1,2017,6,June,Jun,8,Thursday,Thu,3.23,55761,14%,656-36-0772,210-460-6327,Bryan,Brazos,Bryan,TX,77806,South,iphagopian,d[aHK7aiH&
852694,Mr.,Walker,E,Wallach,M,walker.wallach@aol.com,Gale Wallach,Georgianna Wallach,Creekmore,8/5/1992,01:03:46 PM,28.09,50,2/28/2020,Q1,H1,2020,2,February,Feb,28,Friday,Fri,0.51,197519,24%,296-15-3535,225-846-1969,Newllano,Vernon,Newllano,LA,71461,South,wewallach,kM\7h*}7
144102,Ms.,Jesusita,W,Hollie,F,jesusita.hollie@hotmail.com,Clement Hollie,Nilda Hollie,Barone,10/30/1987,04:55:43 AM,32.86,49,3/5/2015,Q1,H1,2015,3,March,Mar,5,Thursday,Thu,5.5,103839,6%,375-37-3861,209-219-5562,Topanga,Los Angeles,Topanga,CA,90290,West,jwhollie,p1-G0\b~
687793,Mr.,Fausto,P,Esqueda,M,fausto.esqueda@aol.com,Randal Esqueda,Yang Esqueda,Cullens,4/23/1971,10:25:52 AM,49.39,75,10/29/1998,Q4,H2,1998,10,October,Oct,29,Thursday,Thu,21.85,60101,5%,095-02-0857,216-722-2112,Somerdale,Tuscarawas,Somerdale,OH,44678,Midwest,fpesqueda,lX!iJCJF@[f-/F
636308,Mrs.,Vanda,S,Komar,F,vanda.komar@aol.com,Carlo Komar,Katia Komar,Almanzar,9/2/1962,02:52:40 AM,58.04,52,7/25/2018,Q3,H2,2018,7,July,Jul,25,Wednesday,Wed,2.1,115639,26%,002-11-5408,216-224-9563,Akron,Summit,Akron,OH,44312,Midwest,vskomar,I0!gVO~XFHG0\9q
218660,Mrs.,Destiny,A,Nicholson,F,destiny.nicholson@gmail.com,Ramon Nicholson,Tanika Nicholson,Schauer,7/1/1995,01:58:42 PM,25.19,54,11/22/2016,Q4,H2,2016,11,November,Nov,22,Tuesday,Tue,3.78,126048,19%,386-37-5628,201-997-3957,Atlantic City,Atlantic,Atlantic City,NJ,8401,Northeast,danicholson,s|?t/%X+
465691,Ms.,Evie,V,Hamby,F,evie.hamby@gmail.com,Devin Hamby,Jerica Hamby,Plum,6/22/1980,12:17:42 AM,40.22,60,10/4/2013,Q4,H2,2013,10,October,Oct,4,Friday,Fri,6.91,193757,28%,682-24-5946,201-331-7085,Rockaway,Morris,Rockaway,NJ,7866,Northeast,evhamby,Xv7!P;xf
242339,Dr.,Carlton,G,Friedrich,M,carlton.friedrich@gmail.com,Tommy Friedrich,Ricki Friedrich,Camp,10/7/1993,12:05:46 AM,26.92,64,10/5/2016,Q4,H2,2016,10,October,Oct,5,Wednesday,Wed,3.91,43826,14%,717-18-8892,216-458-6650,Cincinnati,Hamilton,Cincinnati,OH,45202,Midwest,cgfriedrich,ROEj:i88Ov
636949,Mr.,Carmelo,A,Haynie,M,carmelo.haynie@gmail.com,Mason Haynie,Dorian Haynie,Blessing,3/19/1988,01:02:33 PM,32.47,83,3/10/2015,Q1,H1,2015,3,March,Mar,10,Tuesday,Tue,5.48,84036,2%,529-99-1135,231-719-8915,Howell,Livingston,Howell,MI,48844,Midwest,cahaynie,R^[haXId3H
890565,Ms.,Bari,K,Troche,F,bari.troche@hotmail.com,Wilson Troche,Madison Troche,Imhoff,6/12/1961,12:10:42 PM,59.26,40,6/6/2006,Q2,H1,2006,6,June,Jun,6,Tuesday,Tue,14.25,182148,30%,479-41-7839,505-741-3868,Cochiti Lake,Sandoval,Cochiti Lake,NM,87083,West,bktroche,F}BQulqy[P@<Y8q
206270,Mr.,Burton,B,Lowry,M,burton.lowry@comcast.net,Oren Lowry,Fredda Lowry,Goodwyn,9/18/1987,10:33:51 PM,32.98,50,10/29/2011,Q4,H2,2011,10,October,Oct,29,Saturday,Sat,8.85,181592,26%,618-87-1917,215-747-2870,Palmerton,Carbon,Palmerton,PA,18071,Northeast,bblowry,k;B:j!?CkWb**
418390,Prof.,Mickey,Z,Bassham,M,mickey.bassham@gmail.com,Deon Bassham,Lan Bassham,Buttler,9/29/1997,11:32:24 AM,22.94,57,12/19/2019,Q4,H2,2019,12,December,Dec,19,Thursday,Thu,0.7,131922,23%,186-86-7205,231-987-8818,Lake Orion,Oakland,Lake Orion,MI,48362,Midwest,mzbassham,BVT4u}~8f{;xl15
359884,Ms.,Ying,Y,Cerrone,F,ying.cerrone@aol.com,Benedict Cerrone,Jeanett Cerrone,Line,3/19/1980,08:03:52 AM,40.48,53,5/17/2012,Q2,H1,2012,5,May,May,17,Thursday,Thu,8.3,184946,1%,083-02-7174,218-498-8798,Iona,Murray,Iona,MN,56141,Midwest,yycerrone,Lx8ii-9U
301840,Mrs.,Bette,O,Copas,F,bette.copas@sbcglobal.net,Rupert Copas,Bette Copas,Gerner,11/12/1962,07:20:25 AM,57.84,55,2/26/2000,Q1,H1,2000,2,February,Feb,26,Saturday,Sat,20.53,103833,27%,124-98-3183,307-986-9240,Hillsdale,Laramie,Hillsdale,WY,82060,West,bocopas,Fz-z~VtH9dfo
232212,Mrs.,Tien,W,Harkey,F,tien.harkey@cox.net,Robin Harkey,Carlotta Harkey,Blas,9/4/1998,12:31:09 AM,22.01,52,5/26/2020,Q2,H1,2020,5,May,May,26,Tuesday,Tue,0.27,103292,10%,615-87-8886,209-433-3579,Fresno,Fresno,Fresno,CA,93782,West,twharkey,c/jI.a^K|[$}o#
450156,Ms.,Loma,S,Chesney,F,loma.chesney@yahoo.com,Bret Chesney,Viola Chesney,Barnhill,5/25/1963,05:20:17 PM,57.31,50,11/14/1989,Q4,H2,1989,11,November,Nov,14,Tuesday,Tue,30.82,66545,7%,161-86-9824,205-930-2406,Mobile,Mobile,Mobile,AL,36602,South,lschesney,8U+<JTEXx&Q]R\S
158031,Mr.,Ruben,K,Pastor,M,ruben.pastor@gmail.com,Filiberto Pastor,Dona Pastor,Audette,11/16/1993,03:28:49 PM,26.81,83,11/20/2016,Q4,H2,2016,11,November,Nov,20,Sunday,Sun,3.78,41892,1%,768-02-9782,262-438-6125,Cedarburg,Ozaukee,Cedarburg,WI,53012,Midwest,rkpastor,rk6{Wd|t%
560394,Ms.,Evelyn,K,Mclellan,F,evelyn.mclellan@bp.com,Ali Mclellan,Leesa Mclellan,Clover,12/11/1989,12:06:33 PM,30.74,56,9/14/2018,Q3,H2,2018,9,September,Sep,14,Friday,Fri,1.96,150529,23%,637-29-7952,702-264-0115,Mercury,Nye,Mercury,NV,89023,West,ekmclellan,8v;Ree0{7th!naM
719786,Dr.,Donnell,D,Wolff,M,donnell.wolff@bp.com,Emanuel Wolff,Kaley Wolff,Abreu,2/18/1964,12:10:08 AM,56.57,52,9/22/1997,Q3,H2,1997,9,September,Sep,22,Monday,Mon,22.96,190587,4%,418-67-3501,205-977-2378,Ozark,Dale,Ozark,AL,36360,South,ddwolff,AW+qw3kU5FQeLz
753275,Mr.,Guadalupe,A,Ketron,M,guadalupe.ketron@yahoo.com,Lesley Ketron,Michal Ketron,Magoon,4/11/1993,03:28:40 PM,27.41,86,5/18/2017,Q2,H1,2017,5,May,May,18,Thursday,Thu,3.29,122513,19%,669-48-6560,215-633-3701,Avella,Washington,Avella,PA,15312,Northeast,gaketron,8o*[0BUyO
395593,Mr.,Trenton,O,Roessler,M,trenton.roessler@gmail.com,Denis Roessler,Melida Roessler,Soriano,11/2/1977,08:24:02 PM,42.86,60,5/26/2005,Q2,H1,2005,5,May,May,26,Thursday,Thu,15.28,80435,22%,517-49-7244,231-440-0311,Grass Lake,Jackson,Grass Lake,MI,49240,Midwest,toroessler,CV*0#/p>jc31
184729,Mr.,Fernando,X,Merced,M,fernando.merced@shell.com,Chester Merced,Ludivina Merced,Mccraney,3/1/1970,01:46:57 PM,50.54,70,1/27/2014,Q1,H1,2014,1,January,Jan,27,Monday,Mon,6.6,95566,12%,562-99-6723,240-634-9028,Olney,Montgomery,Olney,MD,20830,South,fxmerced,X86~v^8unPt}
169047,Mrs.,Meghann,Z,Burtch,F,meghann.burtch@yahoo.co.in,Darell Burtch,Barbar Burtch,Mangan,11/15/1971,07:27:25 AM,48.83,40,9/29/2016,Q3,H2,2016,9,September,Sep,29,Thursday,Thu,3.92,53485,12%,621-85-6936,316-894-4929,Minneola,Clark,Minneola,KS,67865,Midwest,mzburtch,x<XYIJp:
549805,Mr.,Jordan,J,Raine,M,jordan.raine@gmail.com,Houston Raine,Nikole Raine,Baumgarten,1/22/1981,06:04:20 AM,39.63,60,2/23/2008,Q1,H1,2008,2,February,Feb,23,Saturday,Sat,12.53,199796,17%,108-98-8002,212-666-1494,New York City,New York,New York City,NY,10292,Northeast,jjraine,9.BpOo;s:a:}
573060,Hon.,Phillip,V,Bostic,M,phillip.bostic@charter.net,Isiah Bostic,Terry Bostic,Brashears,7/9/1988,04:00:02 AM,32.17,55,1/20/2016,Q1,H1,2016,1,January,Jan,20,Wednesday,Wed,4.62,90660,30%,096-02-4878,303-431-3269,Denver,Denver,Denver,CO,80262,West,pvbostic,m:Mbtx;_WR#>
284490,Mrs.,Vivienne,I,Weikel,F,vivienne.weikel@gmail.com,Roman Weikel,Jewell Weikel,Jankowski,8/18/1982,11:11:48 PM,38.06,46,1/20/2017,Q1,H1,2017,1,January,Jan,20,Friday,Fri,3.61,178679,20%,240-99-7351,215-980-1022,Philadelphia,Philadelphia,Philadelphia,PA,19179,Northeast,viweikel,ao.c{lY%gw
862168,Mrs.,Keely,F,Engleman,F,keely.engleman@gmail.com,Geoffrey Engleman,Lilly Engleman,Pippin,5/14/1993,07:24:15 AM,27.32,44,4/27/2020,Q2,H1,2020,4,April,Apr,27,Monday,Mon,0.35,142778,23%,344-11-9902,270-723-9397,Barlow,Ballard,Barlow,KY,42024,South,kfengleman,yI>sy*;+{
159896,Ms.,Elida,R,Popa,F,elida.popa@yahoo.com,Harvey Popa,Monserrate Popa,Bilyeu,10/22/1981,09:31:21 AM,38.88,55,7/16/2019,Q3,H2,2019,7,July,Jul,16,Tuesday,Tue,1.13,76017,5%,550-99-0523,405-526-7072,Bartlesville,Washington,Bartlesville,OK,74004,South,erpopa,N8JeQbkpX3
452204,Hon.,Muriel,H,Kasper,F,muriel.kasper@bp.com,Waldo Kasper,Hettie Kasper,Sandoz,10/14/1975,11:08:08 PM,44.91,59,4/14/2010,Q2,H1,2010,4,April,Apr,14,Wednesday,Wed,10.39,69687,7%,636-31-0033,215-564-9413,Troutville,Clearfield,Troutville,PA,15866,Northeast,mhkasper,fq\5bt5D&>2N!Fb
296581,Hon.,Miriam,E,Rolfe,F,miriam.rolfe@aol.com,Chance Rolfe,Frederica Rolfe,Mace,10/12/1965,12:52:07 AM,54.92,41,3/17/1989,Q1,H1,1989,3,March,Mar,17,Friday,Fri,31.48,178512,25%,236-55-5974,231-508-3634,Pullman,Allegan,Pullman,MI,49450,Midwest,merolfe,j4$~5Ga/c>B
321771,Prof.,Nestor,J,Gledhill,M,nestor.gledhill@shell.com,Evan Gledhill,Gaynelle Gledhill,Westman,3/18/1981,11:33:33 PM,39.48,80,4/11/2016,Q2,H1,2016,4,April,Apr,11,Monday,Mon,4.39,52538,24%,322-11-7636,252-429-6447,Tarawa Terrace,Onslow,Tarawa Terrace,NC,28543,South,njgledhill,j?TUG~v#|>
849011,Mrs.,Livia,F,Barefield,F,livia.barefield@gmail.com,Troy Barefield,Erline Barefield,Lapoint,8/3/1997,12:42:09 AM,23.09,55,12/11/2019,Q4,H2,2019,12,December,Dec,11,Wednesday,Wed,0.72,178965,28%,142-23-1275,206-732-4227,Puyallup,Pierce,Puyallup,WA,98372,West,lfbarefield,1-x8};%W<P>9
514416,Mrs.,Renea,X,Talavera,F,renea.talavera@yahoo.com,Shad Talavera,Verda Talavera,Lowrie,4/9/1997,03:24:25 AM,23.41,46,12/25/2018,Q4,H2,2018,12,December,Dec,25,Tuesday,Tue,1.68,144167,30%,726-18-7086,803-316-5659,Gaston,Lexington,Gaston,SC,29053,South,rxtalavera,7Wu}9u0]MC&D
165718,Dr.,Edgar,X,Phares,M,edgar.phares@gmail.com,Kenneth Phares,Wynell Phares,Stine,9/17/1970,02:33:29 PM,49.99,77,5/5/1997,Q2,H1,1997,5,May,May,5,Monday,Mon,23.34,125113,30%,653-60-2011,215-254-6902,Pittsburgh,Allegheny,Pittsburgh,PA,15264,Northeast,exphares,NY_~<LQcbm6
769266,Ms.,Shelley,Q,Matthes,F,shelley.matthes@verizon.net,Francisco Matthes,Audrey Matthes,Barnette,7/23/1966,08:28:59 AM,54.15,59,3/12/2001,Q1,H1,2001,3,March,Mar,12,Monday,Mon,19.48,62618,15%,577-53-4910,304-601-9241,Halltown,Jefferson,Halltown,WV,25423,South,sqmatthes,3hGA&04th4!4n4
452925,Dr.,Valentine,P,Fuentez,M,valentine.fuentez@walmart.com,Gerard Fuentez,Winona Fuentez,Sippel,12/25/1996,08:37:00 PM,23.7,83,1/16/2019,Q1,H1,2019,1,January,Jan,16,Wednesday,Wed,1.62,159076,19%,719-18-3194,210-431-9245,Voss,Coleman,Voss,TX,76888,South,vpfuentez,ee4O6]%;&j
863483,Mr.,Wesley,Q,Downes,M,wesley.downes@yahoo.ca,Rusty Downes,Lucienne Downes,Burdine,1/28/1965,11:24:04 AM,55.63,57,2/3/1988,Q1,H1,1988,2,February,Feb,3,Wednesday,Wed,32.6,52780,17%,145-23-2452,423-288-1420,Isabella,Isabella,Isabella,TN,37346,South,wqdownes,v5N#m27^En~u>
